Timestamp,Altitude_Deg,Frequency_Hz
14:13:38.693,34.28,137097488.11
14:13:39.873,34.02,137097480.28
14:13:41.045,33.77,137097472.61
14:13:42.225,33.52,137097465.06
14:13:43.401,33.26,137097457.54
14:13:44.576,33.01,137097450.20
14:13:45.752,32.76,137097443.01
14:13:46.932,32.52,137097435.83
14:13:48.116,32.27,137097428.77
14:13:49.292,32.03,137097421.85
14:13:50.470,31.79,137097415.02
14:13:51.650,31.55,137097408.29
14:13:52.837,31.31,137097401.62
14:13:54.022,31.08,137097395.05
14:13:55.205,30.84,137097388.60
14:13:56.385,30.61,137097382.27
14:13:57.568,30.38,137097376.01
14:13:58.751,30.15,137097369.85
14:13:59.940,29.93,137097363.76
14:14:01.103,29.70,137097357.81
14:14:02.286,29.48,137097351.94
14:14:03.463,29.26,137097346.17
14:14:04.643,29.04,137097340.44
14:14:05.823,28.83,137097334.81
14:14:06.994,28.61,137097329.30
14:14:08.179,28.40,137097323.81
14:14:09.358,28.19,137097318.42
14:14:10.529,27.98,137097313.15
14:14:11.710,27.77,137097307.92
14:14:12.894,27.56,137097302.75
14:14:14.074,27.36,137097297.67
14:14:15.256,27.15,137097292.63
14:14:16.435,26.95,137097287.72
14:14:17.622,26.75,137097282.83
14:14:18.803,26.55,137097278.03
14:14:19.989,26.35,137097273.30
14:14:21.167,26.15,137097268.64
14:14:22.351,25.96,137097264.04
14:14:23.536,25.76,137097259.49
14:14:24.719,25.57,137097255.02
14:14:25.904,25.38,137097250.61
14:14:27.081,25.19,137097246.29
14:14:28.265,25.00,137097242.01
14:14:29.454,24.81,137097237.78
14:14:30.651,24.63,137097233.56
14:14:31.847,24.44,137097229.41
14:14:33.026,24.26,137097225.38
14:14:34.227,24.07,137097221.36
14:14:35.409,23.89,137097217.41
14:14:36.591,23.71,137097213.55
14:14:37.776,23.53,137097209.73
14:14:38.980,23.35,137097205.91
14:14:40.154,23.18,137097202.21
14:14:41.322,23.01,137097198.59
14:14:42.511,22.83,137097194.98
14:14:43.695,22.66,137097191.42
14:14:44.878,22.49,137097187.91
14:14:46.048,22.32,137097184.49
14:14:47.237,22.15,137097181.07
14:14:48.420,21.99,137097177.74
14:14:49.601,21.82,137097174.38
14:14:50.790,21.65,137097171.11
14:14:51.968,21.49,137097167.90
14:14:53.149,21.32,137097164.72
14:14:54.334,21.16,137097161.58
14:14:55.511,21.00,137097158.50
14:14:56.697,20.84,137097155.45
14:14:57.873,20.68,137097152.46
14:14:59.048,20.53,137097149.51
14:15:00.236,20.37,137097146.56
14:15:01.421,20.21,137097143.70
14:15:02.599,20.06,137097140.85
14:15:03.771,19.91,137097138.07
14:15:04.947,19.75,137097135.32
14:15:06.121,19.60,137097132.62
14:15:07.304,19.45,137097129.92
14:15:08.482,19.30,137097127.28
14:15:09.661,19.15,137097124.66
14:15:10.832,19.01,137097122.10
14:15:12.014,18.86,137097119.58
14:15:13.184,18.71,137097117.07
14:15:14.353,18.57,137097114.61
14:15:15.535,18.43,137097112.18
14:15:16.717,18.28,137097109.75
14:15:17.907,18.14,137097107.36
14:15:19.082,18.00,137097105.02
14:15:20.256,17.86,137097102.72
14:15:21.424,17.72,137097100.47
14:15:22.594,17.58,137097098.23
14:15:23.762,17.44,137097096.04
14:15:24.936,17.30,137097093.86
14:15:26.108,17.17,137097091.71
14:15:27.293,17.03,137097089.57
14:15:28.477,16.89,137097087.47
14:15:29.652,16.76,137097085.39
14:15:30.822,16.63,137097083.37
14:15:32.000,16.49,137097081.35
14:15:33.181,16.36,137097079.36
14:15:34.362,16.23,137097077.39
14:15:35.530,16.10,137097075.47
14:15:36.707,15.97,137097073.56
14:15:37.879,15.84,137097071.69
14:15:39.060,15.71,137097069.82
14:15:40.240,15.58,137097067.99
14:15:41.415,15.46,137097066.19
14:15:42.600,15.33,137097064.39
14:15:43.777,15.20,137097062.63
14:15:44.961,15.08,137097060.89
14:15:46.131,14.95,137097059.19
14:15:47.317,14.83,137097057.49
14:15:48.501,14.70,137097055.81
14:15:49.679,14.58,137097054.16
14:15:50.860,14.46,137097052.54
14:15:52.028,14.34,137097050.94
14:15:53.199,14.22,137097049.38
14:15:54.374,14.10,137097047.83
14:15:55.557,13.98,137097046.28
14:15:56.726,13.86,137097044.77
14:15:57.900,13.74,137097043.28
14:15:59.081,13.62,137097041.81
14:16:00.252,13.50,137097040.35
14:16:01.426,13.39,137097038.93
14:16:02.605,13.27,137097037.51
14:16:03.779,13.16,137097036.12
14:16:04.952,13.04,137097034.74
14:16:06.121,12.93,137097033.40
14:16:07.298,12.81,137097032.06
14:16:08.481,12.70,137097030.74
14:16:09.661,12.59,137097029.43
14:16:10.827,12.48,137097028.15
14:16:12.009,12.37,137097026.88
14:16:13.185,12.25,137097025.63
14:16:14.369,12.14,137097024.39
14:16:15.545,12.03,137097023.18
14:16:16.731,11.92,137097021.97
14:16:17.919,11.81,137097020.78
14:16:19.109,11.70,137097019.60
14:16:20.283,11.59,137097018.45
14:16:21.458,11.49,137097017.32
14:16:22.641,11.38,137097016.20
14:16:23.811,11.27,137097015.10
14:16:24.984,11.17,137097014.02
14:16:26.155,11.06,137097012.95
14:16:27.328,10.96,137097011.90
14:16:28.504,10.85,137097010.86
14:16:29.680,10.75,137097009.83
14:16:30.848,10.65,137097008.83
14:16:32.021,10.54,137097007.83
